,author_pair,co-paper_id,co-times,authors_paper_num,co-occurrence_val
11675,"('Tieghi A', 'Jiang Y')",[],0,"(1, 1)",0.0
11676,"('Tieghi A', 'Kocsis J')",[],0,"(1, 1)",0.0
11677,"('Tieghi A', 'Reale C')",[],0,"(1, 1)",0.0
11678,"('Tieghi A', 'Koval OA.')",[],0,"(1, 1)",0.0
11679,"('Tieghi A', 'Mazzaferro V')",[],0,"(1, 1)",0.0
11680,"('Tieghi A', 'Di Maio A')",[],0,"(1, 1)",0.0
11681,"('Tieghi A', 'Boysen G')",[],0,"(1, 1)",0.0
11682,"('Tieghi A', 'Panteghini C')",[],0,"(1, 1)",0.0
11683,"('Tieghi A', 'Lin Y')",[],0,"(1, 1)",0.0
11684,"('Tieghi A', 'Christova R')",[],0,"(1, 1)",0.0
11685,"('Tieghi A', 'Merle P')",[],0,"(1, 1)",0.0
11686,"('Tieghi A', 'Aziz S')",[],0,"(1, 1)",0.0
11687,"('Tieghi A', 'Zhu G')",[],0,"(1, 1)",0.0
11688,"('Tieghi A', 'Choo SP')",[],0,"(1, 1)",0.0
11689,"('Tieghi A', 'Yin K')",[],0,"(1, 1)",0.0
11690,"('Tieghi A', 'Dao T')",[],0,"(1, 1)",0.0
11691,"('Tieghi A', 'Hoefele J')",[],0,"(1, 1)",0.0
11692,"('Tieghi A', 'Nagel M')",[],0,"(1, 1)",0.0
11693,"('Tieghi A', 'Figueiredo I')",[],0,"(1, 1)",0.0
11694,"('Tieghi A', 'Sumanasuriya S')",[],0,"(1, 1)",0.0
11695,"('Tieghi A', 'Ma YT')",[],0,"(1, 1)",0.0
11696,"('Tieghi A', 'Campistol J')",[],0,"(1, 1)",0.0
11697,"('Tieghi A', 'Tang D')",[],0,"(1, 1)",0.0
11698,"('Tieghi A', 'G\xc3\xa9rolami R')",[],0,"(1, 1)",0.0
11699,"('Tieghi A', 'Sheng W')",[],0,"(1, 1)",0.0
11700,"('Tieghi A', 'Thongsawat S')",[],0,"(1, 1)",0.0
11701,"('Tieghi A', 'Lim HY')",[],0,"(1, 1)",0.0
11702,"('Tieghi A', 'Bergamaschi M')",[9],1,"(1, 1)",1.0
